consumo,motor,cv,peso,acel,a–o,origen,cilindr,derivada
13,3687,95,1261,19,75,1,6,1
11,3785,110,1013,15,75,1,6,1
12,4293,110,1073,13.5,75,1,8,0
18,4949,129,1056,12,75,1,8,0
8,1590,75,723,16,75,3,4,1
10,2294,83,879,17,75,1,4,1
12,3802,100,971,16,75,1,6,1
10,2294,78,864,18.5,75,1,4,1
10,2196,96,900,13.5,75,3,4,1
9,1475,71,741,16.5,75,2,4,1
10,1950,97,848,17,75,3,4,1
13,2802,97,994,14.5,75,1,6,1
8,1475,70,645,14,75,2,4,1
12,3802,90,1070,17,75,1,6,1
10,1885,95,898,15,75,2,4,1
10,1966,88,985,17,75,2,4,1
11,1983,98,981,14.5,75,2,4,1
9,1983,115,890,13.5,75,2,4,1
7,1491,53,598,17.5,75,3,4,1
8,1753,86,821,15.5,76,2,4,1
9,1901,81,740,16.9,76,2,4,1
9,2294,92,857,14.9,76,1,4,1
9,1606,79,751,17.7,76,1,4,1
9,1655,83,734,15.3,76,2,4,1
13,4998,140,1405,13,76,1,8,0
15,5211,150,1396,13,76,1,8,0
15,4982,120,1320,13.9,76,1,8,0
16,5752,152,1405,12.8,76,1,8,0
11,3687,100,1077,15.4,76,1,6,1
11,4097,105,1117,14.5,76,1,6,1
10,3277,81,1004,17.6,76,1,6,1
10,3802,90,1028,17.6,76,1,6,1
8,1393,52,678,22.2,76,1,4,1
10,1606,60,721,22.1,76,1,4,1
8,1475,70,645,14.2,76,2,4,1
7,1491,53,598,17.4,76,3,4,1
12,3687,100,1217,17.7,76,1,6,1
13,4097,78,1191,21,76,1,6,1
13,4097,110,1215,16.2,76,1,6,1
13,4228,95,1064,17.8,76,1,6,1
8,1590,71,608,12.2,76,2,4,1
7,1393,70,663,17,76,3,4,1
8,1590,75,718,16.4,76,3,4,1
9,2294,72,855,13.6,76,1,4,1
12,2130,102,1050,15.7,76,2,4,1
18,5211,150,1313,13.2,76,1,8,0
12,1966,88,1090,21.9,76,2,4,1
12,2556,108,976,15.5,76,3,6,1
14,2753,120,1273,16.7,76,2,6,1
14,5735,180,1460,12.1,76,1,8,0
18,5735,145,1351,12,76,1,8,0
18,4949,130,1290,15,76,1,8,0
18,5211,150,1251,14,76,1,8,0
7,1606,68,681,18.5,77,3,4,1
8,1819,80,718,14.8,77,1,4,1
7,1295,58,608,18.6,77,2,4,1
9,1999,96,766,15.5,77,1,4,1
7,1393,70,648,16.8,77,3,4,1
13,4998,145,1293,12.5,77,1,8,0
14,4261,110,1353,19,77,1,8,0
15,5211,145,1380,13.7,77,1,8,0
16,4949,130,1431,14.9,77,1,8,0
13,4097,110,1173,16.4,77,1,6,1
12,3785,105,1141,16.9,77,1,6,1
12,3687,100,1210,17.7,77,1,6,1
13,4097,98,1175,19,77,1,6,1
15,6555,180,1406,11.1,77,1,8,0
15,5735,170,1388,11.4,77,1,8,0
15,6555,190,1441,12.2,77,1,8,0
15,5752,149,1445,14.5,77,1,8,0
8,1590,78,646,14.5,77,2,4,1
10,2474,88,913,16,77,1,4,1
9,1590,75,755,18.2,77,3,4,1
9,2294,89,918,15.8,77,1,4,1
8,1606,63,683,17,77,1,4,1
7,1606,83,691,15.9,77,1,4,1
8,1590,67,661,16.4,77,3,4,1
8,1590,78,730,14.1,77,2,4,1
11,2393,97,938,14.5,77,3,6,1
11,1983,110,866,12.8,77,2,4,1
11,1311,110,906,13.5,77,3,3,
5,1475,48,661,21.5,78,2,4,1
7,1606,66,600,14.4,78,1,4,1
7,1278,52,661,19.4,78,3,4,1
6,1393,70,690,18.6,78,3,4,1
7,1491,60,600,16.4,78,3,4,1
12,4261,110,1121,15.5,78,1,8,0
12,5211,140,1245,13.2,78,1,8,0
12,4949,139,1190,12.8,78,1,8,0
12,3785,105,1178,19.2,78,1,6,1
12,3277,95,1051,18.2,78,1,6,1
12,3277,85,988,15.8,78,1,6,1
9,2294,88,906,15.4,78,1,4,1
12,3687,100,1143,17.2,78,1,6,1
12,3802,90,1070,17.2,78,1,6,1
11,3785,105,1126,15.8,78,1,6,1
11,3277,85,1023,16.7,78,1,6,1
13,3687,110,1206,18.7,78,1,6,1
13,4228,120,1136,15.1,78,1,6,1
12,4998,145,1141,13.2,78,1,8,0
13,3785,165,1148,13.4,78,1,6,1
13,4949,139,1068,11.2,78,1,8,0
13,5211,140,1360,13.7,78,1,8,0
8,1606,68,718,16.5,78,1,4,1
9,2196,95,853,14.2,78,3,4,1
9,1950,97,766,14.7,78,3,4,1
8,1721,75,743,14.5,78,1,4,1
11,2196,95,838,14.8,78,3,4,1
10,2556,105,915,16.7,78,1,4,1
10,2474,85,951,17.6,78,1,4,1
10,1950,97,801,14.9,78,3,4,1
12,2147,103,943,15.9,78,2,5,1
14,2671,125,1046,13.6,78,2,6,1
11,1983,115,931,15.7,78,2,4,1
15,2671,133,1136,15.8,78,2,6,1
7,1458,71,663,14.9,78,2,4,1
8,1606,68,711,16.6,78,3,4,1
11,3785,115,1081,15.4,79,1,6,1
12,3277,85,996,18.2,79,1,6,1
11,2294,88,963,17.3,79,1,4,1
12,3802,90,1088,18.2,79,1,6,1
11,3687,110,1120,16.6,79,1,6,1
14,4998,130,1280,15.4,79,1,8,0
13,4949,129,1241,13.4,79,1,8,0
14,5752,138,1318,13.2,79,1,8,0
13,5211,135,1276,15.2,79,1,8,0
14,5735,155,1453,14.9,79,1,8,0
15,5752,142,1351,14.3,79,1,8,0
12,4375,125,1201,15,79,1,8,0
13,5899,150,1313,13,79,1,8,0
7,1458,71,641,14,79,2,4,1
7,1409,65,658,15.2,79,3,4,1
7,1606,80,638,14.4,79,1,4,1
9,1983,80,890,15,79,1,4,1
9,2999,77,1176,20.1,79,2,5,1
10,5735,125,1300,17.4,79,1,8,0
9,2311,71,1063,24.8,79,2,4,1
10,4261,90,1140,22.2,79,1,8,0
7,1721,70,733,13.2,79,1,4,1
7,1721,70,716,14.9,79,1,4,1
7,1393,65,673,19.2,79,3,4,1
6,1491,69,710,14.7,79,2,4,1
8,2474,90,890,16,79,1,4,1
8,2835,115,865,11.3,79,1,6,1
9,2835,115,900,12.9,79,1,6,1
7,2474,90,852,13.2,79,1,4,1
6,1606,76,714,14.7,80,2,4,1
6,1458,60,656,18.8,80,3,4,1
7,1606,70,706,15.5,80,1,4,1
6,1409,65,673,16.4,80,3,4,1
8,2474,90,892,16.5,80,1,4,1
9,2294,88,956,18.1,80,1,4,1
10,2474,90,1001,20.1,80,1,4,1
12,3687,90,1127,18.7,80,1,6,1
7,1590,78,729,15.8,80,2,4,1
8,2196,90,903,15.5,80,3,4,1
8,1966,75,847,17.5,80,3,4,1
6,1950,92,811,15,80,3,4,1
7,1770,75,755,15.2,80,3,4,1
5,1409,65,703,17.9,80,3,4,1
8,2556,105,933,14.4,80,1,4,1
6,1393,65,703,19.2,80,3,4,1
5,1475,48,695,21.7,80,2,4,1
5,1475,48,778,23.7,80,2,4,1
6,1983,67,983,19.9,80,2,5,1
8,2393,67,1083,21.8,80,2,4,1
5,1491,67,616,13.8,80,3,4,1
6,1393,,611,17.3,80,2,4,1
7,1590,67,715,18,80,3,4,1
8,1458,62,615,15.3,80,2,4,1
7,2753,132,970,11.4,80,3,6,1
10,1147,100,806,12.5,80,3,3,1
7,1999,88,833,15.1,80,2,4,1
10,2294,,968,14.3,80,1,4,1
7,1753,72,763,17,80,3,4,1
9,2212,84,830,15.7,81,1,4,1
9,2474,84,878,16.4,81,1,4,1
9,2556,92,873,14.4,81,1,4,1
10,2835,110,908,12.6,81,1,6,1
8,2212,84,795,12.9,81,1,4,1
6,1295,58,585,16.9,81,3,4,1
6,1409,64,625,16.4,81,1,4,1
7,1327,60,586,16.1,81,3,4,1
7,1590,67,688,17.8,81,3,4,1
6,1393,65,658,19.4,81,3,4,1
6,1458,62,683,17.3,81,3,4,1
7,1491,68,661,16,81,3,4,1
7,1721,63,738,14.9,81,1,4,1
7,1606,65,681,16.2,81,1,4,1
8,1606,65,793,20.7,81,1,4,1
7,1721,74,730,14.2,81,2,4,1
7,1639,,773,15.8,81,2,4,1
7,1753,75,736,14.4,81,3,4,1
7,1770,75,783,16.8,81,3,4,1
7,1950,100,871,14.8,81,3,4,1
7,1966,74,878,18.3,81,3,4,1
8,2311,80,1076,20.4,81,2,4,1
,1983,110,933,15.4,81,2,4,1
8,2376,76,1053,19.6,81,2,6,1
9,2753,116,966,12.6,81,3,6,1
10,2393,120,976,13.8,81,3,6,1
11,3785,110,1138,15.8,81,1,6,1
9,5735,105,1241,19,81,1,8,0
12,3277,88,1020,17.1,81,1,6,1
13,3687,85,1155,16.6,81,1,6,1
8,1835,88,868,19.6,82,1,4,1
9,1835,88,880,18.6,82,1,4,1
7,1835,88,798,18,82,1,4,1
8,1835,85,858,16.2,82,1,4,1
8,2212,84,841,16,82,1,4,1
9,2474,90,911,18,82,1,4,1
10,2294,92,955,16.4,82,1,4,1
10,2474,,1011,20.5,82,1,4,1
7,1721,74,660,15.3,82,2,4,1
6,1491,68,675,18.2,82,3,4,1
8,1491,68,656,17.6,82,3,4,1
6,1721,63,708,14.7,82,1,4,1
7,1606,70,708,17.3,82,1,4,1
7,1966,88,720,14.5,82,3,4,1
7,1753,75,735,14.5,82,3,4,1
7,1770,70,748,16.9,82,3,4,1
6,1491,67,655,15,82,3,4,1
7,1491,67,655,15.7,82,3,4,1
6,1491,67,665,16.2,82,3,4,1
9,2966,110,981,16.4,82,1,6,1
6,4293,85,1005,17,82,1,6,1
9,2556,92,861,14.5,82,1,4,1
11,3802,112,945,14.7,82,1,6,1
7,2360,96,888,13.9,82,3,4,1
7,2212,84,790,13,82,1,4,1
9,2474,90,983,17.3,82,1,4,1
9,2294,86,930,15.6,82,1,4,1
5,1590,52,710,24.6,82,2,4,1
7,2212,84,765,11.6,82,1,4,1
8,1966,79,875,18.6,82,1,4,1
8,1950,82,906,19.4,82,1,4,1

